Frame,Visibility,X,Y,X_fused,Y_fused,is_interpolated,track_status
377,0,0,0,,,False,missing
378,0,0,0,,,False,missing
379,0,0,0,,,False,missing
380,0,0,0,,,False,missing
381,0,0,0,,,False,missing
382,0,0,0,,,False,missing
383,0,0,0,,,False,missing
384,0,0,0,,,False,missing
385,0,0,0,,,False,missing
386,0,0,0,,,False,missing
387,0,0,0,,,False,missing
388,0,0,0,,,False,missing
389,0,0,0,,,False,missing
390,0,0,0,,,False,missing
391,0,0,0,,,False,missing
392,0,0,0,,,False,missing
393,0,0,0,,,False,missing
394,0,0,0,,,False,missing
395,0,0,0,,,False,missing
396,0,0,0,,,False,missing
397,0,0,0,,,False,missing
398,0,0,0,,,False,missing
399,0,0,0,,,False,missing
400,0,0,0,,,False,missing
401,0,0,0,,,False,missing
402,0,0,0,,,False,missing
403,0,0,0,,,False,missing
404,1,514,328,514.0,328.0,False,detected
405,1,514,333,514.0,333.0,False,detected
406,1,514,333,514.0,333.0,False,detected
407,1,516,324,516.0,324.0,False,detected
408,0,0,0,520.6666666666666,324.0,True,interpolated
409,0,0,0,525.3333333333334,324.0,True,interpolated
410,0,0,0,530.0,324.0,True,interpolated
411,0,0,0,534.6666666666666,324.0,True,interpolated
412,0,0,0,539.3333333333334,324.0,True,interpolated
413,0,0,0,544.0,324.0,True,interpolated
414,0,0,0,548.6666666666666,324.0,True,interpolated
415,0,0,0,553.3333333333334,324.0,True,interpolated
416,0,0,0,,,False,missing
417,0,0,0,,,False,missing
418,0,0,0,,,False,missing
419,0,0,0,,,False,missing
420,0,0,0,,,False,missing
421,0,0,0,,,False,missing
422,0,0,0,,,False,missing
423,0,0,0,,,False,missing
424,0,0,0,,,False,missing
425,0,0,0,,,False,missing
426,0,0,0,,,False,missing
427,0,0,0,,,False,missing
428,1,614,324,614.0,324.0,False,detected
429,1,614,328,614.0,328.0,False,detected
430,1,614,328,614.0,328.0,False,detected
431,1,614,306,614.0,306.0,False,detected
432,1,614,346,614.0,346.0,False,detected
433,1,615,351,615.0,351.0,False,detected
434,1,615,351,615.0,351.0,False,detected
435,1,614,346,614.0,346.0,False,detected
436,0,0,0,608.9777777777778,347.77777777777777,True,interpolated
437,0,0,0,603.9555555555555,349.55555555555554,True,interpolated
438,0,0,0,598.9333333333333,351.3333333333333,True,interpolated
439,0,0,0,593.9111111111112,353.1111111111111,True,interpolated
440,0,0,0,588.8888888888889,354.8888888888889,True,interpolated
441,0,0,0,583.8666666666667,356.6666666666667,True,interpolated
442,0,0,0,578.8444444444444,358.44444444444446,True,interpolated
443,0,0,0,573.8222222222222,360.22222222222223,True,interpolated
444,0,0,0,,,False,missing
445,0,0,0,,,False,missing
446,0,0,0,,,False,missing
447,0,0,0,,,False,missing
448,0,0,0,,,False,missing
449,0,0,0,,,False,missing
450,0,0,0,,,False,missing
451,0,0,0,,,False,missing
452,0,0,0,,,False,missing
453,0,0,0,,,False,missing
454,0,0,0,,,False,missing
455,0,0,0,,,False,missing
456,0,0,0,,,False,missing
457,0,0,0,,,False,missing
458,0,0,0,,,False,missing
459,0,0,0,,,False,missing
460,0,0,0,,,False,missing
461,0,0,0,,,False,missing
462,0,0,0,,,False,missing
463,0,0,0,,,False,missing
464,0,0,0,,,False,missing
465,0,0,0,,,False,missing
466,0,0,0,,,False,missing
467,0,0,0,,,False,missing
468,0,0,0,,,False,missing
469,0,0,0,,,False,missing
470,0,0,0,,,False,missing
